clip_name,tools_present,corrected_labels
clip_000031_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000032_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000033_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000034_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000035_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000036_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000037_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000038_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000039_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000040_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000041_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000042_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000043_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000044_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000045_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000046_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000047_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000048_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000049_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000050_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000051_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000052_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000053_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000054_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000055_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000056_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000057_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000058_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000059_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000060_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000061_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000062_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000063_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000064_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000065_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000066_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000067_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000068_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000069_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000070_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000071_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000072_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000073_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000074_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000075_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000076_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000077_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000078_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000079_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000080_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000081_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000082_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000083_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000084_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000085_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000086_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000087_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000088_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000089_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000090_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000091_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000092_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000093_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000094_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000095_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000096_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000097_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000098_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000099_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000100_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000101_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000102_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000103_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000104_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000105_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000106_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000107_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000108_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000109_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000110_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000111_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000112_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000113_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000114_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000115_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000116_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000117_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000118_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000119_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000120_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000121_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000122_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000123_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000124_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000125_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000126_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000127_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000128_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000129_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000130_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000131_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000132_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000133_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000134_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000135_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000136_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000137_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000138_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000139_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000140_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000141_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000142_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000143_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000144_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000145_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000146_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000147_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000148_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000149_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000150_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000151_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000152_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000153_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000154_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000155_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000156_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000157_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000158_1,"[needle driver, nan, monopolar curved scissors, grasping retractor]","['needle driver', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000159_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000160_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000161_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000162_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000163_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000164_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000165_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000166_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000167_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000168_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000169_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000170_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000171_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000172_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000173_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000174_1,"[needle driver, nan, needle driver, grasping retractor]","['needle driver', 'nan', 'needle driver', 'grasping retractor']"
clip_000175_1,"[needle driver, nan, monopolar curved scissors, grasping retractor]","['needle driver', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000176_1,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","['bipolar forceps', 'nan', 'monopolar curved scissors', 'grasping retractor']"
clip_000177_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000178_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000179_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000180_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000181_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000182_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000183_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000184_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000185_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000186_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000187_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000188_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000189_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000190_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000191_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000192_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000193_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000194_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000195_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000196_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000197_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
clip_000198_1,"[grasping retractor, bipolar forceps, nan, monopolar curved scissors]","['grasping retractor', 'bipolar forceps', 'nan', 'monopolar curved scissors']"
